date,ticker,NewsCount,NewsTone
2022-05-28,AAPL,178,-0.0017836124170159142
2022-05-28,AMZN,217,-0.012568409092895591
2022-05-28,FB,2255,-0.012324175936716173
2022-05-28,NVDA,59,-0.026636781888349278
2022-05-28,TSLA,141,0.00064464831232848843
2022-05-29,AAPL,160,-0.0012037147669210361
2022-05-29,AMZN,213,-0.007619291912255262
2022-05-29,FB,1891,-0.0072551174503587522
2022-05-29,NVDA,24,-0.023879483412882874
2022-05-29,TSLA,86,-0.0050952712465285946
2022-05-30,AAPL,368,-0.002612114245350035
2022-05-30,AMZN,287,0.011442941368266037
2022-05-30,FB,2775,-0.0088933520902070452
2022-05-30,NVDA,93,0.001800473505824188
2022-05-30,TSLA,105,-0.0068269911946348657
2022-05-31,AAPL,561,-0.007196373817296456
2022-05-31,AMZN,403,0.00590120661070573
2022-05-31,FB,3529,-0.010536281730475801
2022-05-31,NVDA,117,-0.015106994775342877
2022-05-31,TSLA,242,-0.00088594977174981479
2022-06-01,AAPL,506,-0.0050069114572388676
2022-06-01,AMZN,382,0.0030902327694362353
2022-06-01,FB,4585,-0.0095203418908062724
2022-06-01,NVDA,126,-0.010677919737399519
2022-06-01,TSLA,554,-0.0027178128321780708
2022-06-02,AAPL,372,-0.00027480502711262148
2022-06-02,AMZN,576,-0.0028445377688308907
2022-06-02,FB,4492,-0.0096728112004699253
2022-06-02,NVDA,92,-0.00836168150543323
2022-06-02,TSLA,325,-0.0065346273828315593
2022-06-03,AAPL,463,0.011805581243823962
2022-06-03,AMZN,606,-3.2683044556106585e-06
2022-06-03,FB,3433,-0.010348887989806247
2022-06-03,NVDA,60,-0.014064140918048619
2022-06-03,TSLA,1164,-0.025275695322245367
2022-06-04,AAPL,238,0.0070571276423370133
2022-06-04,AMZN,245,0.001792452639703253
2022-06-04,FB,2231,-0.01386227236605337
2022-06-04,NVDA,52,-0.027450849124901346
2022-06-04,TSLA,302,-0.020449572149929582
2022-06-05,AAPL,194,0.0020911603067484304
2022-06-05,AMZN,139,0.0083595443589037331
2022-06-05,FB,1875,-0.011860808842293936
2022-06-05,NVDA,39,-0.021055348813723236
2022-06-05,TSLA,152,-0.01433562041971399
2022-06-06,AAPL,1539,0.010723898472486663
2022-06-06,AMZN,681,-0.006141901352513468
2022-06-06,FB,2930,-0.009639220920756671
2022-06-06,NVDA,70,-0.0098910621056005725
2022-06-06,TSLA,213,-0.015751064735114267
2022-06-07,AAPL,1659,0.0081756447857139064
2022-06-07,AMZN,715,-0.0070643462489202264
2022-06-07,FB,3422,-0.0099791015552190259
2022-06-07,NVDA,96,-0.0050393885520370833
2022-06-07,TSLA,169,-0.010345117928602106
2022-06-08,AAPL,791,0.0033207880625893949
2022-06-08,AMZN,704,-0.012091232927208465
2022-06-08,FB,4470,-0.017951640821752844
2022-06-08,NVDA,65,-0.019054338594619875
2022-06-08,TSLA,193,-0.0061608371531838282
2022-06-09,AAPL,650,0.0032081329199299784
2022-06-09,AMZN,899,-0.0081992800672695283
2022-06-09,FB,4485,-0.017850636109048582
2022-06-09,NVDA,89,-0.0072395752638878784
2022-06-09,TSLA,545,-0.024263751331529748
2022-06-10,AAPL,642,0.0043802445637464889
2022-06-10,AMZN,911,-0.003295533832688912
2022-06-10,FB,3693,-0.010970568064458406
2022-06-10,NVDA,74,-0.018902957452332496
2022-06-10,TSLA,375,-0.014781611682871084
2022-06-11,AAPL,299,0.0019712848088121746
2022-06-11,AMZN,519,-0.025155751655000929
